task_id,strategy,distance
1e32b0e9,row_first,3.465100756273677
1e32b0e9,col_first,3.7822347364373936
1f0c79e5,random_k3,4.836684802373785
1f0c79e5,color_first,3.8468287407786756
1f0c79e5,nn_color_first,3.8468287407786756
1f0c79e5,object_first,4.498787913260794
1f0c79e5,row_first,3.115862103772394
1f0c79e5,col_first,2.637989160806746
1f642eb9,random_k3,2.975903530592879
1f642eb9,color_first,4.490112244498149
1f642eb9,nn_color_first,4.490112244498149
1f642eb9,object_first,4.019684159126718
1f642eb9,row_first,2.933798008928295
1f642eb9,col_first,2.82961597975401
1f876c06,random_k3,3.638449723278693
1f876c06,color_first,3.9656403163278378
1f876c06,nn_color_first,3.9656403163278378
1f876c06,object_first,5.039557920935943
1f876c06,row_first,3.749648747399817
1f876c06,col_first,3.8474458087381342
21f83797,random_k3,3.0759908122029325
21f83797,color_first,4.373852624116556
21f83797,nn_color_first,4.373852624116556
21f83797,object_first,4.7804225092411174
21f83797,row_first,2.2206980312570455
21f83797,col_first,2.2769417063128485
23581191,random_k3,3.912806930981863
23581191,color_first,3.893201957759999
23581191,nn_color_first,3.893201957759999
23581191,object_first,2.45914659304338
23581191,row_first,4.214767631484242
23581191,col_first,4.4950177489540755
2546ccf6,random_k3,2.253183732759417
2546ccf6,color_first,3.526367161929787
2546ccf6,nn_color_first,3.526367161929787
2546ccf6,object_first,2.514128975117583
2546ccf6,row_first,2.6600588703350962
2546ccf6,col_first,3.4421080436702347
2bcee788,random_k3,6.794492916730973
2bcee788,color_first,5.147775862508429
2bcee788,nn_color_first,5.147775862508429
2bcee788,object_first,5.215173782699372
2bcee788,row_first,4.974337062288222
2bcee788,col_first,4.680880222394026
2bee17df,random_k3,3.023841104767167
2bee17df,color_first,3.225420881713168
2bee17df,nn_color_first,3.225420881713168
2bee17df,object_first,3.283791836712301
2bee17df,row_first,3.4500361475567907
2bee17df,col_first,3.6592359868347444
2c608aff,random_k3,2.755959148909931
2c608aff,color_first,2.1144882743322078
2c608aff,nn_color_first,2.1144882743322078
2c608aff,object_first,1.659023643448947
2c608aff,row_first,1.8137878675425623
2c608aff,col_first,1.7148151021810607
2dd70a9a,random_k3,1.9278225254222485
2dd70a9a,color_first,2.986656954225893
2dd70a9a,nn_color_first,2.986656954225893
2dd70a9a,object_first,1.70149161393009
2dd70a9a,row_first,1.7087732569127865
2dd70a9a,col_first,1.9591741269539873
32597951,random_k3,1.2986933754845944
32597951,color_first,2.0174943196391273
32597951,nn_color_first,2.0174943196391273
32597951,object_first,3.6488356231250987
32597951,row_first,1.7765940699922103
32597951,col_first,1.5935884171625287
3aa6fb7a,random_k3,6.253229758403287
3aa6fb7a,color_first,4.1124538489226286
3aa6fb7a,nn_color_first,4.1124538489226286
3aa6fb7a,object_first,5.515931088070771
3aa6fb7a,row_first,6.493476705779966
3aa6fb7a,col_first,5.745696668450637
3ac3eb23,random_k3,2.037925715663565
3ac3eb23,color_first,2.1145242108870956
3ac3eb23,nn_color_first,2.1145242108870956
3ac3eb23,object_first,4.289841683371978
3ac3eb23,row_first,2.7941126934350877
3ac3eb23,col_first,3.2262808082046166
3befdf3e,random_k3,6.651629207009095
3befdf3e,color_first,6.959347070814956
3befdf3e,nn_color_first,6.959347070814956
3befdf3e,object_first,5.547683088194651
3befdf3e,row_first,5.267609104263575
3befdf3e,col_first,5.6088757998456416
3eda0437,random_k3,2.350367775326955
3eda0437,color_first,1.8804502513961878
3eda0437,nn_color_first,1.8804502513961878
3eda0437,object_first,1.83867330333084
